Zoom Karaoke 001-013 Contents.IF ANYONE HAS 014-020 PLEASE POST THEM THANKS..

www.forum.stirrup-entertainment.co.uk (vist us and ask for any karaoke you want)
If we've got it we'll torrent it..........................................ENJOY.

REMEMBER TO SHARE ITS ONLY FARE.!!!

MF CODE	TRACK	SONG	ARTIST
ZOOM013	01	WATERLOO	ABBA
ZOOM013	02	MAKING YOUR MIND UP	BUCKS FIZZ
ZOOM013	03	CONGRATULATIONS	CLIFF RICHARD
ZOOM013	04	BEG STEAL OR BORROW	NEW SEEKERS
ZOOM013	05	JACK IN THE BOX	CLODAGH RODGERS
ZOOM013	06	BETTER THE DEVIL YOU KNOW	SONIA
ZOOM013	07	WHAT'S ANOTHER YEAR	JOHNNY LOGAN
ZOOM013	08	HOLD ME NOW	JOHNNY LOGAN
ZOOM013	09	BOOM BANG A BANG	LULU
ZOOM013	10	SING LITTLE BIRDIE	PEAR CARR AND TEDDY JOHNSON
ZOOM013	11	POWER TO ALL OUR FRIENDS	CLIFF RICHARD
ZOOM013	12	LOVE SHINE A LIGHT	KATRINA AND THE WAVES
ZOOM013	13	OOH AAH JUST A LITTLE BIT	GINA G
ZOOM013	14	ALL KINDS OF EVERYTHING	DANA
ZOOM013	15	PUPPET ON A STRING	SANDIE SHAW
ZOOM013	16	SAVE ALL YOUR KISSES FOR ME	BROTHERHOOD OF MAN
